iter	Passed	Remaining
0	46	46714
1	47	23475
2	47	15710
3	47	11825
4	47	9495
5	47	7943
6	48	6833
7	48	6000
8	48	5351
9	48	4838
10	49	4414
11	49	4062
12	49	3762
13	49	3506
14	50	3284
15	50	3088
16	50	2916
17	51	2805
18	51	2667
19	51	2544
20	52	2432
21	52	2331
22	52	2238
23	52	2152
24	53	2074
25	53	2000
26	53	1932
27	54	1882
28	54	1822
29	54	1767
30	54	1716
31	55	1668
32	55	1622
33	55	1580
34	55	1539
35	56	1500
36	56	1464
37	56	1429
38	56	1397
39	56	1366
40	57	1336
41	57	1308
42	57	1281
43	57	1255
44	58	1231
45	58	1207
46	58	1185
47	58	1164
48	58	1143
49	59	1123
50	59	1104
51	59	1085
52	59	1068
53	60	1051
54	60	1035
55	60	1019
56	60	1003
57	60	989
58	61	982
59	61	968
60	62	955
61	62	942
62	62	929
63	62	917
64	63	906
65	63	898
66	63	887
67	63	875
68	64	866
69	64	856
70	64	846
71	64	836
72	65	826
73	65	817
74	65	808
75	65	800
76	66	791
77	66	783
78	66	775
79	66	767
80	66	759
81	67	752
82	67	745
83	67	738
84	67	730
85	68	725
86	68	717
87	69	722
88	69	715
89	70	709
90	70	703
91	70	697
92	70	691
93	71	686
94	71	684
95	72	679
96	72	673
97	72	668
98	72	663
99	73	658
100	73	653
101	73	647
102	73	642
103	73	637
104	74	632
105	74	627
106	74	623
107	75	620
108	75	616
109	75	612
110	75	608
111	76	604
112	76	600
113	76	596
114	77	592
115	77	588
116	77	584
117	77	580
118	77	575
119	78	572
120	78	568
121	78	564
122	78	560
123	78	556
124	79	553
125	79	549
126	79	546
127	79	542
128	79	538
129	80	535
130	80	532
131	80	529
132	80	525
133	80	522
134	81	519
135	81	516
136	81	513
137	81	510
138	81	507
139	82	504
140	82	501
141	82	498
142	82	496
143	82	493
144	83	490
145	83	488
146	84	488
147	84	485
148	84	483
149	84	481
150	85	478
151	85	476
152	85	473
153	85	471
154	86	468
155	86	466
156	86	464
157	86	462
158	87	460
159	87	458
160	87	456
161	87	454
162	88	451
163	88	449
164	88	447
165	88	445
166	88	443
167	89	441
168	89	439
169	89	437
170	89	435
171	89	433
172	90	431
173	90	429
174	90	427
175	90	425
176	91	423
177	91	421
178	91	419
179	91	418
180	91	415
181	92	414
182	92	414
183	93	412
184	93	410
185	93	409
186	93	407
187	94	406
188	94	404
189	94	402
190	94	400
191	94	399
192	95	397
193	95	395
194	95	394
195	95	393
196	96	395
197	97	393
198	97	392
199	97	390
200	97	389
201	98	387
202	98	386
203	98	384
204	98	383
205	99	381
206	99	380
207	99	378
208	99	377
209	99	376
210	100	374
211	100	373
212	100	371
213	100	370
214	101	368
215	101	367
216	101	366
217	101	364
218	101	363
219	102	361
220	102	360
221	102	359
222	102	357
223	102	356
224	103	355
225	103	354
226	103	352
227	103	351
228	104	350
229	104	348
230	104	347
231	104	346
232	104	345
233	105	344
234	105	342
235	105	341
236	105	340
237	105	339
238	106	338
239	106	336
240	106	335
241	106	334
242	107	333
243	107	332
244	107	332
245	108	331
246	108	330
247	108	329
248	108	328
249	109	327
250	109	326
251	109	325
252	109	323
253	109	322
254	110	321
255	110	320
256	110	319
257	110	318
258	111	318
259	111	317
260	111	316
261	112	316
262	112	315
263	112	314
264	112	313
265	113	312
266	113	311
267	113	310
268	113	309
269	114	308
270	114	307
271	114	306
272	114	305
273	114	304
274	115	303
275	115	302
276	115	301
277	115	300
278	116	299
279	116	298
280	116	297
281	116	297
282	116	296
283	117	295
284	117	294
285	117	293
286	117	292
287	117	291
288	118	290
289	118	289
290	118	288
291	118	287
292	118	287
293	119	286
294	119	285
295	119	284
296	119	283
297	120	283
298	120	282
299	120	281
300	121	281
301	121	280
302	121	279
303	121	278
304	121	277
305	122	277
306	122	276
307	122	275
308	122	274
309	123	273
310	123	273
311	123	272
312	123	271
313	123	270
314	124	269
315	124	269
316	124	268
317	124	267
318	125	266
319	125	266
320	125	265
321	125	264
322	125	263
323	126	263
324	126	262
325	126	261
326	126	260
327	126	259
