iter	Passed	Remaining
0	48	48922
1	49	24573
2	49	16449
3	49	12378
4	49	9935
5	50	8306
6	50	7144
7	50	6271
8	50	5592
9	51	5051
10	51	4607
11	51	4238
12	51	3925
13	51	3657
14	52	3424
15	52	3219
16	52	3040
17	52	2880
18	53	2736
19	53	2607
20	53	2500
21	53	2395
22	54	2298
23	54	2210
24	54	2128
25	54	2052
26	55	1982
27	55	1917
28	55	1857
29	55	1801
30	55	1748
31	56	1698
32	56	1652
33	56	1608
34	56	1567
35	57	1527
36	57	1490
37	57	1455
38	57	1421
39	57	1389
40	58	1369
41	58	1341
42	59	1325
43	59	1299
44	60	1275
45	60	1253
46	60	1230
47	60	1208
48	61	1187
49	61	1167
50	61	1147
51	62	1131
52	62	1114
53	62	1097
54	62	1080
55	63	1063
56	63	1050
57	63	1037
58	64	1027
59	64	1016
60	65	1006
61	65	995
62	66	984
63	66	974
64	67	964
65	67	954
66	67	945
67	68	936
68	68	927
69	69	919
70	69	910
71	70	903
72	70	895
73	70	888
74	71	878
75	71	869
76	71	860
77	72	858
78	72	849
79	73	841
80	73	832
81	73	823
82	73	814
83	73	806
84	74	798
85	74	790
86	74	783
87	74	775
88	75	768
89	75	761
90	75	754
91	75	747
92	75	740
93	76	734
94	76	727
95	76	721
96	76	715
97	77	709
98	77	703
99	77	697
100	77	691
101	77	686
102	78	680
103	78	675
104	78	670
105	78	665
106	79	661
107	79	656
108	79	651
109	79	646
110	80	641
111	80	636
112	80	632
113	80	627
114	80	623
115	81	619
116	81	614
117	81	610
118	81	606
119	82	602
120	82	597
121	82	593
122	82	589
123	83	586
124	84	589
125	84	588
126	85	585
127	85	581
128	85	578
129	86	575
130	86	572
131	86	568
132	86	565
133	87	563
134	87	560
135	87	558
136	88	556
137	88	554
138	89	552
139	89	550
140	89	547
141	90	544
142	90	541
143	90	538
144	90	535
145	91	532
146	91	530
147	91	527
148	91	524
149	92	521
150	92	519
151	92	516
152	92	514
153	93	511
154	93	508
155	93	506
156	93	504
157	96	513
158	96	510
159	96	508
160	96	505
161	97	502
162	97	501
163	98	502
164	98	499
165	98	497
166	99	494
167	99	492
168	99	490
169	99	487
170	100	485
171	100	482
172	100	480
173	100	478
174	100	476
175	101	473
176	101	471
177	101	469
178	101	467
179	102	465
180	102	462
181	102	460
182	102	458
183	102	456
184	103	455
185	103	453
186	103	451
187	104	449
188	104	447
189	104	445
190	104	443
191	105	441
192	105	440
193	105	438
194	105	436
195	106	434
196	106	433
197	106	431
198	106	430
199	107	428
200	107	427
201	107	425
202	108	424
203	108	422
204	108	420
205	108	418
206	108	417
207	109	415
208	109	413
209	109	412
210	109	410
211	110	409
212	110	407
213	110	405
214	110	404
215	110	402
216	111	401
217	111	399
218	111	398
219	111	396
220	112	395
221	112	393
222	112	392
223	112	390
224	112	389
225	113	387
226	113	386
227	113	384
228	113	383
229	114	381
230	114	380
231	114	379
232	114	378
233	115	377
234	115	375
235	115	374
236	115	373
237	116	371
238	116	370
239	116	368
240	116	367
241	116	366
242	117	364
243	117	363
244	117	362
245	117	361
246	118	359
247	118	358
248	118	357
249	118	355
250	119	355
251	119	354
252	119	353
253	119	351
254	120	350
255	120	349
256	120	348
257	120	347
258	121	346
259	121	345
260	121	343
261	121	342
262	121	341
263	122	340
264	122	339
265	122	338
266	122	337
267	123	335
268	123	334
269	123	333
270	123	332
271	123	331
272	124	330
273	124	329
274	124	328
275	124	327
276	125	326
277	125	325
278	125	324
279	125	323
280	125	322
281	126	321
282	126	320
283	126	319
284	126	318
285	126	317
286	127	316
287	127	315
288	127	314
289	127	313
290	128	312
291	128	311
292	128	310
293	128	309
294	128	308
295	129	307
296	129	306
297	129	305
298	129	304
299	130	303
300	130	302
301	130	301
302	130	300
303	131	300
304	131	299
305	131	298
306	131	297
307	132	296
308	132	296
309	132	295
310	132	294
311	133	293
312	133	292
313	133	291
314	133	290
315	133	289
316	134	289
317	134	288
318	134	287
319	134	286
320	135	285
321	135	284
322	135	283
323	135	283
324	135	282
325	136	281
326	136	280
327	136	279
328	136	278
329	136	278
330	137	277
331	137	276
332	137	275
333	137	274
334	138	274
335	138	273
336	138	272
337	138	271
338	139	272
339	139	271
340	140	270
341	140	270
342	140	269
343	141	268
344	141	268
345	141	267
346	141	266
347	141	265
348	142	265
349	142	264
350	142	263
351	142	263
352	145	265
353	145	266
354	146	265
355	146	264
356	146	263
357	146	263
358	147	262
359	147	261
360	147	261
361	147	260
362	147	259
363	148	258
364	148	258
365	148	257
366	148	256
367	149	256
368	149	255
369	149	254
370	149	254
371	150	253
372	150	252
373	150	251
374	150	251
375	150	250
376	151	249
377	151	249
378	151	248
379	151	247
380	152	247
381	152	246
382	152	245
383	152	245
384	153	244
385	153	243
386	153	243
387	153	242
388	153	241
389	154	241
390	154	240
391	154	239
392	154	239
393	155	238
394	155	237
395	155	237
396	155	236
397	155	235
398	156	235
399	156	234
400	156	234
401	156	233
402	157	232
403	157	232
404	157	231
405	157	230
406	157	230
407	158	229
408	158	228
409	158	228
410	158	227
411	159	227
412	159	226
413	159	225
414	159	225
415	159	224
416	160	223
417	160	223
418	160	222
419	160	222
420	161	221
421	161	220
422	161	220
423	161	219
424	161	219
425	162	218
426	162	217
427	162	217
428	163	216
429	163	216
430	163	215
431	163	215
432	163	214
433	164	214
434	164	213
435	164	212
436	164	212
437	165	211
438	165	211
439	165	210
440	165	209
441	165	209
442	166	208
443	166	208
444	166	208
445	167	207
446	167	206
447	167	206
448	167	205
449	167	205
450	168	204
451	168	204
452	168	203
453	169	203
454	169	203
455	169	202
456	169	201
457	170	201
458	170	200
459	170	200
460	170	199
461	171	199
462	171	199
463	171	198
464	172	198
465	172	197
466	172	196
467	172	196
468	173	195
469	173	195
470	173	195
471	174	195
472	174	194
473	175	194
474	175	193
475	175	193
476	175	192
477	176	192
478	176	191
479	176	191
480	176	190
481	177	190
482	177	189
483	177	189
484	177	188
485	178	188
486	178	187
487	178	187
488	178	186
489	178	186
490	179	185
491	179	185
492	179	184
493	179	184
494	180	183
495	180	183
496	180	182
497	180	182
498	180	181
499	181	181
500	181	180
501	181	180
502	181	179
503	182	179
504	182	178
505	182	178
506	182	177
507	182	177
508	183	176
509	183	176
510	183	175
511	183	175
512	184	174
513	184	174
514	184	173
515	184	173
516	184	172
517	185	172
518	185	171
519	185	171
520	186	171
521	186	171
522	187	170
523	187	170
524	187	169
525	187	169
526	188	168
527	188	168
528	188	168
529	188	167
530	189	167
531	189	166
532	189	166
533	189	165
534	190	165
535	190	164
536	190	164
537	190	163
538	190	163
539	191	162
540	191	162
541	191	161
542	191	161
543	192	160
544	192	160
545	192	160
546	192	159
547	192	159
548	193	158
549	193	158
550	193	157
551	193	157
552	194	156
553	194	156
554	194	155
555	194	155
556	194	155
557	195	154
558	195	154
559	195	153
560	196	153
561	196	153
562	196	152
563	196	152
564	197	151
565	197	151
566	197	150
567	197	150
568	197	149
569	198	149
570	199	149
571	199	149
572	199	148
573	199	148
574	200	147
575	200	147
576	200	147
577	200	146
578	201	146
579	201	146
580	201	145
581	202	145
582	202	144
583	202	144
584	203	144
585	203	143
586	203	143
587	204	143
588	204	142
589	204	142
590	205	141
591	205	141
592	205	141
593	205	140
594	205	140
595	206	139
596	206	139
597	207	139
598	207	138
599	207	138
600	207	137
601	207	137
602	208	137
603	208	136
604	208	136
605	208	135
606	209	135
607	209	134
608	209	134
609	209	134
610	210	133
611	211	133
612	211	133
613	211	133
614	212	132
615	212	132
616	212	132
617	213	131
618	213	131
619	213	130
620	214	130
621	214	130
622	214	129
623	214	129
624	214	128
625	215	128
626	215	128
627	215	127
628	215	127
629	215	126
630	216	126
631	219	127
632	219	127
633	220	127
634	220	126
635	220	126
636	220	125
637	221	125
638	221	124
639	221	124
640	221	124
641	221	123
642	222	123
643	222	122
644	225	123
645	225	123
646	225	123
647	225	122
648	226	122
649	226	121
650	226	121
651	226	121
652	227	120
653	227	120
654	227	119
655	227	119
656	228	119
657	228	118
658	228	118
659	229	118
660	229	117
661	230	117
662	230	117
663	230	116
664	231	116
665	232	116
666	232	116
667	233	115
668	233	115
669	234	115
670	234	115
671	235	114
672	235	114
673	236	114
674	237	114
675	237	113
676	238	113
677	238	113
678	239	113
679	239	112
680	241	113
681	241	112
682	242	112
683	242	112
684	243	111
685	243	111
686	244	111
687	245	111
688	245	110
689	245	110
690	246	110
691	246	109
692	246	109
693	246	108
694	247	108
695	249	109
696	252	109
697	252	109
698	253	108
699	253	108
700	253	108
701	253	107
702	254	107
703	254	106
704	254	106
705	254	106
706	254	105
707	255	105
708	255	104
709	255	104
710	255	103
711	255	103
712	256	103
713	256	102
714	256	102
715	256	101
716	257	101
717	257	101
718	257	100
719	257	100
720	257	99
721	258	99
722	258	99
723	258	98
724	258	98
725	259	97
726	259	97
727	259	96
728	259	96
729	259	96
730	260	95
731	261	95
732	262	95
733	262	95
734	262	94
735	262	94
736	263	93
737	263	93
738	263	93
739	263	92
740	264	92
741	264	91
742	264	91
743	265	91
744	265	90
745	266	90
746	266	90
747	267	90
748	267	89
749	268	89
750	268	89
751	269	88
752	269	88
753	269	88
754	270	87
755	270	87
756	270	86
757	270	86
758	270	86
759	271	85
760	271	85
761	271	84
762	271	84
763	271	84
764	272	83
765	272	83
766	272	82
767	272	82
768	273	82
769	273	81
770	273	81
771	273	80
772	274	80
773	274	80
774	274	79
775	274	79
776	274	78
777	275	78
778	275	78
779	275	77
780	275	77
781	276	76
782	276	76
783	276	76
784	276	75
785	277	75
786	277	75
787	277	74
788	277	74
789	277	73
790	278	73
791	278	73
792	278	72
793	278	72
794	279	71
795	279	71
796	279	71
797	279	70
798	279	70
799	280	70
800	280	69
801	280	69
802	281	68
803	281	68
804	281	68
805	281	67
806	281	67
807	282	67
808	282	66
809	282	66
810	282	65
811	283	65
812	283	65
813	283	64
814	283	64
815	283	64
816	284	63
817	284	63
818	284	62
819	284	62
820	285	62
821	285	61
822	285	61
823	285	61
824	286	60
825	286	60
